x,y,t
-0.070651,0.494983,2.161000
-0.076141,0.494169,2.164000
-0.081622,0.493293,2.167000
-0.085269,0.492675,2.169000
-0.090733,0.491699,2.172000
-0.096185,0.490661,2.175000
-0.099813,0.489936,2.177000
-0.105245,0.488798,2.180000
-0.108859,0.488006,2.182000
-0.112468,0.487187,2.184000
-0.117868,0.485909,2.187000
-0.121461,0.485023,2.189000
-0.126837,0.483645,2.192000
-0.130412,0.482693,2.194000
-0.135762,0.481216,2.197000
-0.141095,0.479679,2.200000
-0.144640,0.478622,2.202000
-0.149944,0.476987,2.205000
-0.153470,0.475864,2.207000
-0.158742,0.474132,2.210000
-0.162246,0.472944,2.212000
-0.167486,0.471114,2.215000
-0.170968,0.469862,2.217000
-0.174440,0.468584,2.219000
-0.179630,0.466619,2.222000
-0.183078,0.465277,2.224000
-0.188231,0.463216,2.227000
-0.193361,0.461098,2.230000
-0.196768,0.459654,2.232000
-0.201858,0.457442,2.235000
-0.205238,0.455936,2.237000
-0.210286,0.453630,2.240000
-0.215308,0.451268,2.243000
-0.218641,0.449662,2.245000
-0.223619,0.447208,2.248000
-0.226922,0.445541,2.250000
-0.231853,0.442994,2.253000
-0.236756,0.440394,2.256000
-0.241630,0.437739,2.259000
-0.244862,0.435939,2.261000
-0.249686,0.433194,2.264000
-0.252885,0.431334,2.266000
-0.257657,0.428501,2.269000
-0.260820,0.426583,2.271000
-0.265539,0.423661,2.274000
-0.268667,0.421685,2.276000
-0.271781,0.419685,2.278000
-0.276422,0.416643,2.281000
-0.281029,0.413549,2.284000
-0.284082,0.411458,2.286000
-0.288632,0.408279,2.289000
-0.293146,0.405050,2.292000
-0.296135,0.402870,2.294000
-0.300588,0.399558,2.297000
-0.305005,0.396197,2.300000
